2;arms_factory;2995.83;10.40;1369.42;0.97;0
2;arms_factory;3010.57;9.70;1349.65;5.13;0
2;arms_factory;3003.14;9.70;1356.86;0.74;0
2;arms_factory;3007.00;10.55;1360.00;4.54;0
2;arms_factory;2997.59;10.10;1363.87;5.64;0
2;arms_factory;3003.41;9.60;1353.45;3.58;0
2;industrial_complex;3001.78;9.80;1359.05;5.34;0
2;industrial_complex;3001.32;9.80;1362.27;2.72;0
2;industrial_complex;3006.04;9.70;1353.67;4.19;0
2;industrial_complex;2992.82;9.70;1362.93;2.03;0
2;industrial_complex;3001.82;10.00;1365.23;5.05;0
2;industrial_complex;3004.81;10.30;1363.20;-0.03;0
2;air_base;2999.99;10.20;1366.21;2.49;0
2;naval_base;3012.69;9.60;1348.02;0.31;1452
2;naval_base;2986.38;9.50;1367.19;-0.49;5579
2;naval_base;2990.36;9.50;1362.34;-0.83;5656
2;naval_base;2999.02;9.50;1355.51;-0.59;5656
2;bunker;2993.00;10.05;1369.00;0.48;0
2;bunker;3012.66;12.10;1356.59;5.81;0
2;bunker;2996.38;10.20;1365.43;2.54;0
2;bunker;3019.42;11.10;1354.09;5.21;0
2;bunker;3004.69;10.80;1367.15;4.35;0
2;coastal_bunker;3000.01;9.50;1354.16;-0.69;0
2;coastal_bunker;2994.03;9.50;1360.76;-0.73;0
2;coastal_bunker;3006.25;9.50;1351.22;-0.39;0
2;coastal_bunker;2989.04;9.50;1364.80;-0.99;0
2;dockyard;2996.39;9.50;1358.20;-0.94;0
2;anti_air_building;2998.20;10.40;1367.30;5.16;0
2;anti_air_building;3009.97;10.70;1354.69;2.61;0
2;anti_air_building;3003.31;10.00;1362.50;2.31;0
2;synthetic_refinery;2990.68;9.70;1365.57;0.55;0
2;fuel_silo;3007.24;10.90;1362.77;3.21;0
2;radar_station;2995.27;9.70;1362.50;6.00;0
2;rocket_site;3011.28;11.70;1359.63;1.16;0
2;nuclear_reactor;2988.41;9.70;1369.30;5.28;0
3;arms_factory;2934.00;15.30;1453.00;1.52;0
3;arms_factory;2932.00;15.68;1448.00;4.54;0
3;arms_factory;2924.00;12.38;1458.00;5.74;0
3;arms_factory;2931.00;13.90;1455.00;3.58;0
3;arms_factory;2932.00;15.98;1449.00;5.14;0
3;arms_factory;2921.00;10.45;1460.00;1.52;0
3;industrial_complex;2932.00;13.88;1456.00;4.19;0
3;industrial_complex;2934.00;15.30;1453.00;2.03;0
3;industrial_complex;2925.00;11.75;1459.00;5.05;0
3;industrial_complex;2933.00;13.93;1457.00;6.25;0
3;industrial_complex;2931.00;13.90;1455.00;4.09;0
3;industrial_complex;2924.00;10.93;1460.00;0.47;0
3;air_base;2920.00;10.38;1460.00;2.04;0
3;bunker;2932.00;13.88;1456.00;4.70;0
3;bunker;2928.00;15.88;1440.00;2.54;0
3;bunker;2931.00;15.55;1444.00;0.48;0
3;bunker;2927.00;11.05;1461.00;3.14;0
3;bunker;2922.00;14.30;1453.00;5.81;0
3;anti_air_building;2933.00;14.05;1458.00;2.54;0
3;anti_air_building;2920.00;11.82;1455.00;5.21;0
3;anti_air_building;2923.00;10.53;1461.00;1.59;0
3;synthetic_refinery;2925.00;11.75;1459.00;4.25;0
3;fuel_silo;2927.00;13.75;1455.00;0.99;0
3;radar_station;2928.00;14.93;1451.00;5.75;0
3;rocket_site;2924.00;10.93;1460.00;0.04;0
3;nuclear_reactor;2921.00;11.93;1456.00;2.70;0
7;industrial_complex;2879.00;9.70;1566.00;2.54;0
7;industrial_complex;2887.00;9.60;1562.00;3.74;0
7;industrial_complex;2873.00;9.70;1557.00;0.48;0
7;industrial_complex;2882.00;9.60;1564.00;3.14;0
7;industrial_complex;2877.00;9.63;1558.00;5.81;0
7;industrial_complex;2884.00;9.63;1573.00;2.54;0
7;air_base;2875.42;9.70;1558.33;5.61;0
7;naval_base;2874.18;9.50;1561.46;-2.16;2775
7;naval_base;2882.25;9.50;1577.78;-3.14;2752
7;naval_base;2877.81;9.50;1567.72;-1.86;2775
7;bunker;2880.00;9.70;1565.00;3.66;0
7;bunker;2886.33;9.60;1560.63;0.04;0
7;bunker;2878.00;9.70;1561.00;2.70;0
7;bunker;2881.49;9.70;1572.55;5.72;0
7;coastal_bunker;2878.44;9.50;1571.15;-1.96;0
7;coastal_bunker;2872.18;9.50;1559.29;-2.36;0
7;anti_air_building;2883.33;9.60;1560.71;0.55;0
7;anti_air_building;2880.92;9.70;1569.77;3.61;0
7;anti_air_building;2880.00;9.70;1566.00;4.77;0
7;synthetic_refinery;2884.00;9.70;1575.00;1.16;0
7;fuel_silo;2879.00;9.70;1566.00;5.28;0
7;radar_station;2887.37;9.60;1563.28;3.89;0
7;rocket_site;2881.00;9.70;1567.00;3.22;0
7;nuclear_reactor;2882.00;9.60;1564.00;5.88;0
8;arms_factory;2899.00;11.32;1513.00;4.09;0
8;arms_factory;2902.00;10.98;1513.00;0.47;0
8;arms_factory;2899.00;11.40;1514.00;2.04;0
8;arms_factory;2897.00;11.75;1515.00;4.70;0
8;arms_factory;2900.00;11.32;1515.00;2.54;0
8;arms_factory;2898.00;11.73;1516.00;3.74;0
8;bunker;2901.00;10.90;1510.00;0.99;0
8;synthetic_refinery;2899.00;11.25;1512.00;5.72;0
8;fuel_silo;2903.00;10.88;1512.00;0.64;0
8;radar_station;2901.00;11.07;1514.00;0.87;0
8;rocket_site;2900.00;11.18;1513.00;2.61;0
8;nuclear_reactor;2897.00;11.60;1514.00;2.71;0
9;air_base;3034.00;10.55;1522.00;3.66;0
9;bunker;3049.00;12.70;1510.00;0.04;0
9;bunker;3035.00;11.20;1519.00;2.70;0
9;bunker;3031.00;13.35;1497.00;0.64;0
9;bunker;3023.00;12.32;1507.00;4.76;0
9;bunker;3032.00;12.03;1508.00;2.71;0
9;bunker;3058.00;12.65;1517.00;0.55;0
9;bunker;3031.00;11.38;1518.00;3.21;0
9;bunker;3021.00;14.93;1503.00;3.22;0
9;fuel_silo;3052.00;12.70;1512.00;5.79;0
9;radar_station;3038.00;12.35;1515.00;1.43;0
9;rocket_site;3039.00;12.60;1509.00;4.83;0
9;nuclear_reactor;3047.00;12.38;1517.00;0.11;0
10;bunker;3128.00;9.85;1560.00;0.64;0
10;bunker;3118.00;9.88;1563.00;4.76;0
10;bunker;3128.00;9.95;1551.00;2.61;0
10;bunker;3139.00;9.82;1552.00;0.55;0
10;bunker;3120.00;10.00;1546.00;4.77;0
10;bunker;3120.00;9.90;1557.00;1.16;0
10;synthetic_refinery;3133.00;9.80;1564.00;5.88;0
