1;2801.40;10.00;1547.36;big
1;2795.00;9.88;1580.00;small
1;2819.07;10.40;1565.11;small
2;2771.02;10.70;1596.20;small
2;2777.19;10.70;1621.92;small
3;2728.00;11.78;1695.00;small
3;2735.00;11.82;1657.00;small
3;2748.02;12.80;1633.18;small
4;2697.38;10.30;1613.76;small
4;2666.16;9.90;1589.23;small
4;2699.10;10.60;1587.26;small
5;2892.00;9.70;1551.00;small
5;2901.00;9.60;1576.00;small
6;2951.00;9.88;1588.00;small
6;2940.00;10.53;1550.00;small
7;2991.00;11.20;1498.00;big
7;2957.00;13.95;1489.00;big
8;3019.00;10.28;1545.00;big
8;2978.00;10.23;1550.00;small
8;3005.00;9.70;1580.00;small
8;3057.90;9.80;1594.40;small
8;3068.99;10.20;1539.44;small
9;3099.00;9.98;1685.00;small
9;3113.48;9.50;1771.62;small
9;3203.85;9.50;1732.55;small
10;3026.00;10.38;1661.00;small
10;3047.00;10.10;1714.00;small
10;3005.86;9.90;1690.89;big
11;2969.96;12.00;1757.48;big
11;2928.00;13.15;1725.00;big
11;2923.34;13.70;1785.11;big
12;3315.00;11.28;1937.00;small
12;3189.00;11.05;1957.00;small
12;3224.35;10.70;1911.38;big
13;3238.00;9.73;1814.00;big
13;3180.00;9.60;1767.00;big
14;3832.00;10.30;1761.00;big
14;3785.00;10.50;1672.00;big
14;3921.00;9.80;1669.00;big
15;3570.17;9.50;855.08;small
16;2800.00;9.50;1783.00;big
16;2810.81;9.50;1678.96;big
17;3524.00;11.00;771.00;big
17;3406.00;15.03;835.00;big
18;2754.00;9.50;1518.00;small
18;2810.38;9.50;1523.17;small
19;2848.00;9.88;1474.00;big
19;2896.00;10.43;1482.00;big
19;2846.00;10.40;1511.00;big
20;2868.00;12.95;1427.00;big
20;2826.00;10.05;1434.00;big
21;3001.00;14.85;1454.00;big
21;2980.92;14.10;1444.22;small
22;3017.00;12.65;1510.00;small
22;3074.00;10.50;1508.00;small
22;3041.00;11.75;1519.00;small
23;3057.00;13.25;1333.00;small
23;3031.00;10.85;1276.00;small
24;3082.21;13.20;1393.63;small
24;3041.00;12.55;1431.00;small
24;3075.71;9.90;1424.10;small
25;3224.00;9.75;1347.00;small
25;3152.00;10.45;1312.00;small
25;3153.85;12.60;1278.45;small
26;3220.00;9.95;1373.00;small
26;3168.00;13.18;1375.00;small
26;3192.00;10.60;1370.00;small
27;3085.00;10.12;1450.00;small
27;3129.00;9.80;1461.00;small
28;3493.00;9.78;1204.00;small
28;3541.00;9.70;1161.00;small
